week_year,city,kitchen,brand_name,orders,gmv_nac
2026-08-17,Medellín,11 MANILA,AVOCALIA TURBO,321,14852900
2026-08-17,Medellín,11 MANILA,BRUNCH & MUNCH TURBO,183,10163600
2026-08-17,Medellín,12 LAURELES,AVOCALIA TURBO,169,8585000
2026-08-17,Bogotá,50 CHICO,AVOCALIA TURBO,152,6911100
2026-08-17,Medellín,11 MANILA,Burritos & Co Turbo,141,6262400
2026-08-17,Barranquilla,32 BARRANQUILLA,Green House Turbo,141,5090700
2026-08-17,Bogotá,65 CALLE 109,AVOCALIA TURBO,137,6744200
2026-08-17,Bogotá,65 CALLE 109,BRUNCH & MUNCH TURBO,134,8075300
2026-08-17,Bogotá,50 CHICO,BRUNCH & MUNCH TURBO,123,7329100
2026-08-17,Barranquilla,32 BARRANQUILLA,AVOCALIA TURBO,120,5357000
2026-08-17,Bucaramanga,42 CABECERA,AVOCALIA TURBO,114,5118500
2026-08-17,Bucaramanga,42 CABECERA,Burritos & Co Turbo,107,4621900
2026-08-17,Medellín,12 LAURELES,Burritos & Co Turbo,104,4610500
2026-08-17,Bogotá,03 CHAPINERO,AVOCALIA TURBO,102,4486500
2026-08-17,Bogotá,65 CALLE 109,Burritos & Co Turbo,101,4819000
2026-08-17,Bogotá,02 PARQUE 93,AVOCALIA TURBO,96,4594000
2026-08-17,Bogotá,03 CHAPINERO,Green House Turbo,93,3271600
2026-08-17,Bucaramanga,42 CABECERA,La Cuadra Turbo,91,4805300
2026-08-17,Bogotá,03 CHAPINERO,BRUNCH & MUNCH TURBO,88,4441600
2026-08-17,Medellín,11 MANILA,Desayunos de la Abuela Turbo,88,4811200
2026-08-17,Medellín,11 MANILA,La Cuadra Turbo,87,5540600
2026-08-17,Bogotá,08 ANDES,AVOCALIA TURBO,83,3790000
2026-08-17,Bogotá,08 ANDES,Burritos & Co Turbo,81,3901600
2026-08-17,Bogotá,01 USAQUEN,AVOCALIA TURBO,79,3062000
2026-08-17,Bogotá,36 VILLA DEL PRADO,Burritos & Co Turbo,77,3985800
2026-08-17,Bogotá,36 VILLA DEL PRADO,AVOCALIA TURBO,75,3806100
2026-08-17,Medellín,11 MANILA,Cinnabon Turbo,74,2334700
2026-08-17,Medellín,12 LAURELES,BRUNCH & MUNCH TURBO,73,3577700
2026-08-17,Bogotá,06 COLINA,Burritos & Co Turbo,71,3387300
2026-08-17,Bogotá,08 ANDES,BRUNCH & MUNCH TURBO,69,3615200
2026-08-17,Bogotá,65 CALLE 109,La Cuadra Turbo,69,3653600
2026-08-17,Bogotá,08 ANDES,La Cuadra Turbo,68,3743400
2026-08-17,Bogotá,69 ARRECIFE,AVOCALIA TURBO,67,2966400
2026-08-17,Medellín,12 LAURELES,Cinnabon Turbo,66,2022400
2026-08-17,Barranquilla,32 BARRANQUILLA,La Cuadra Turbo,63,3262400
2026-08-17,Bogotá,61 CHICO CINNABON,cinnabon pase turbo,62,2175700
2026-08-17,Medellín,12 LAURELES,La Cuadra Turbo,61,3526700
2026-08-17,Medellín,12 LAURELES,Green House Turbo,61,2399400
